Index,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP,Class
197,0,1,0,1,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0
199,0,0,1,0,0,0,0,0,0,1,0
200,0,0,0,1,0,0,0,0,0,1,1
201,0,0,0,0,0,0,0,0,0,0,0
202,1,0,0,1,0,0,0,0,0,0,1
203,1,0,0,1,0,1,0,0,1,0,1
204,2,0,0,1,1,0,0,0,1,0,1
205,0,0,0,1,0,0,0,0,0,1,0
206,1,0,0,0,0,0,0,0,0,0,0
207,0,1,0,0,0,0,0,0,0,2,1
208,1,0,0,1,0,0,0,0,1,0,1
209,0,0,0,1,2,0,0,0,1,0,0
210,2,0,0,1,1,0,0,0,1,0,0
211,0,0,0,1,0,1,0,0,0,0,0
212,0,1,0,1,0,0,0,0,0,0,1
213,3,0,2,1,0,0,0,0,1,0,1
214,2,0,0,2,1,0,0,0,0,2,0
215,0,0,1,1,0,0,0,0,0,0,0
216,1,1,0,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,0,0,4,0
218,1,1,1,1,0,0,0,0,1,0,1
219,0,0,0,1,0,0,0,0,0,1,1
220,0,1,1,1,1,0,0,0,0,1,0
221,2,0,0,0,1,0,0,0,0,2,0
222,1,1,0,1,0,0,0,0,1,0,0
223,0,0,0,0,0,0,0,0,0,1,1
224,1,1,1,1,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,1,0,0,0,0,0,1,0
227,2,0,0,1,2,0,0,0,1,2,1
228,0,0,0,1,0,0,0,0,0,1,0
229,2,2,0,1,0,0,0,0,0,0,1
230,2,0,0,0,0,1,0,0,0,0,1
231,1,0,0,1,0,0,0,0,0,2,0
232,1,0,0,0,0,1,0,0,1,0,1
233,0,0,0,0,0,0,1,0,0,1,1
234,2,2,0,1,0,1,0,0,0,0,0
235,0,0,0,0,0,0,1,0,1,1,1
236,2,1,0,0,0,0,0,0,1,0,1
237,2,2,0,1,0,0,0,0,1,0,1
238,2,0,0,0,0,1,0,0,0,0,1
239,0,0,0,0,0,0,0,0,1,0,1
240,0,0,0,1,0,0,2,0,0,0,1
241,0,0,0,1,0,0,0,0,0,1,1
242,0,0,0,0,0,0,1,0,0,1,1
243,2,2,0,1,0,0,0,0,0,0,0
244,2,2,0,1,0,0,1,0,0,0,1
245,0,0,0,0,0,0,1,0,1,0,1
246,1,0,0,1,0,0,1,0,1,0,1
247,2,2,0,1,0,0,0,0,0,0,1
248,2,0,0,1,0,0,0,0,0,0,0
249,2,2,0,2,0,0,1,0,0,0,0
250,2,2,0,1,0,0,0,0,0,0,1
251,0,0,0,0,0,0,1,0,1,0,1
252,0,0,0,0,0,0,0,0,1,0,1
253,0,0,0,1,0,0,0,0,0,1,0
254,2,2,0,1,0,0,0,0,0,0,1
255,2,0,0,1,0,0,0,0,0,0,1
256,0,2,0,1,0,0,0,0,1,0,1
257,0,0,0,0,0,0,0,0,1,0,1
258,2,2,0,1,0,0,0,0,0,0,1
259,0,2,0,1,0,0,0,0,1,0,1
260,0,2,0,1,0,0,0,0,1,0,1
261,0,0,0,0,0,0,0,0,1,0,0
262,0,0,0,0,0,0,1,0,0,1,1
263,0,0,0,0,0,0,2,0,1,0,0
264,2,2,0,2,0,0,0,0,1,0,1
265,0,0,0,0,0,0,1,0,1,0,1
266,2,2,0,1,0,0,0,0,0,0,1
267,0,0,0,1,0,0,0,0,0,1,1
268,0,0,0,1,0,0,0,0,0,1,1
269,2,0,0,2,0,0,1,0,0,0,1
270,2,0,0,0,0,1,0,0,0,0,1
271,2,2,0,0,0,1,0,0,0,0,1
272,2,0,0,0,0,0,1,0,0,0,1
273,2,2,0,2,0,1,0,0,0,0,1
274,0,0,0,0,0,0,0,0,1,0,1
275,0,2,0,1,0,0,0,0,0,1,1
276,2,0,0,1,0,0,0,0,0,0,0
277,2,0,0,2,0,0,1,0,1,0,0
278,1,1,0,0,0,0,0,0,0,1,1
279,1,0,0,1,0,0,0,0,1,1,1
280,2,0,0,2,0,0,1,0,0,0,1
281,1,1,0,0,0,0,0,0,1,0,1
282,2,1,0,0,0,0,0,0,0,1,1
283,1,0,0,1,1,1,1,0,1,0,1
284,2,2,0,1,0,0,0,0,1,0,1
285,0,0,0,0,0,0,0,0,1,2,1
286,1,1,0,1,0,0,0,1,1,0,1
287,2,0,0,1,0,0,0,0,0,1,1
288,1,0,1,0,0,0,0,0,1,1,1
289,0,0,0,1,0,0,0,0,0,2,1
290,1,0,1,0,0,0,0,0,1,1,1
291,0,0,0,1,0,0,0,0,0,1,1
292,0,0,0,2,0,0,1,0,1,0,1
293,2,0,0,2,0,0,1,0,1,1,1
294,1,0,0,1,0,0,1,0,0,3,0
295,1,2,0,0,0,0,1,0,1,0,1
296,1,1,0,0,0,0,0,0,1,0,1
297,2,0,0,2,0,0,0,0,1,1,1
298,0,0,0,1,0,0,0,0,1,3,1
299,1,0,0,2,0,0,0,0,1,0,1
300,1,0,0,1,0,0,1,0,1,0,1
301,2,0,0,1,0,0,0,0,1,0,1
302,0,0,0,1,0,0,0,2,1,1,0
303,1,1,0,0,0,0,0,0,0,4,1
304,1,1,0,0,0,0,0,0,1,0,1
305,2,0,0,1,0,0,0,0,1,0,1
306,0,0,0,0,0,0,1,1,0,1,0
307,2,0,0,2,0,0,0,0,0,0,1
308,1,1,0,1,0,1,0,0,0,3,1
309,1,1,0,1,0,0,0,0,1,0,1
310,1,1,0,1,0,0,0,0,1,0,1
311,0,0,0,0,0,0,0,0,0,1,1
312,1,0,0,1,0,0,0,0,1,1,1
313,1,1,0,1,0,0,0,0,1,0,1
314,0,2,0,0,0,1,0,0,0,0,0
315,0,0,0,2,0,0,0,0,1,1,1
316,2,0,0,1,0,0,0,0,1,2,1
317,1,1,1,1,0,0,0,0,0,5,1
318,2,2,0,1,0,0,0,0,0,0,1
319,2,0,0,0,0,1,0,0,0,0,0
320,2,0,0,1,0,0,0,0,1,1,1
321,2,0,0,2,0,0,0,0,1,1,1
322,1,0,0,1,0,0,1,0,1,0,0
323,2,0,0,1,0,0,0,0,1,1,1
324,1,0,0,1,0,1,0,0,0,1,1
325,1,0,0,0,0,0,0,0,1,0,0
326,1,0,1,1,0,0,0,0,1,2,1
327,2,1,0,1,0,0,0,0,1,0,1
328,1,1,0,0,0,0,0,0,1,0,1
329,1,1,0,0,0,0,0,0,1,0,1
330,0,0,0,0,0,0,1,0,0,0,1
331,1,1,0,0,0,0,0,0,1,0,1
332,4,0,0,1,0,0,0,0,0,0,1
333,0,0,0,1,0,1,0,2,0,1,0
334,2,1,0,2,0,0,1,0,0,0,0
335,2,0,0,2,0,0,1,1,1,0,0
336,2,0,0,1,0,1,0,0,1,0,1
337,3,1,0,1,0,0,0,0,1,0,1
338,16,0,0,0,0,0,0,0,0,0,1
339,2,0,0,1,0,1,0,0,0,0,1
340,0,0,0,1,0,0,1,0,1,0,1
341,2,2,0,1,0,0,0,0,0,0,1
342,2,0,0,1,0,0,0,0,1,0,1
343,0,0,0,0,0,0,1,0,0,1,1
344,2,1,0,0,0,0,0,0,1,0,1
345,2,0,0,1,0,1,0,0,1,0,1
346,1,0,0,0,0,0,1,0,1,0,1
347,0,0,0,0,0,0,0,0,0,4,1
348,0,0,0,0,0,0,0,0,1,0,1
349,1,0,1,1,0,0,0,0,0,0,0
350,0,0,0,1,0,0,0,0,0,1,0
351,0,0,0,1,0,0,0,0,0,1,0
352,0,0,0,1,0,0,0,0,0,1,0
353,0,0,0,1,0,0,0,0,0,1,0
354,0,0,2,2,0,0,0,0,0,1,0
355,0,0,2,2,0,0,0,0,0,2,0
356,0,1,1,1,0,0,0,0,0,1,0
357,0,0,0,2,0,0,0,0,0,1,1
358,1,1,1,1,0,0,0,0,0,1,0
359,0,0,0,1,0,1,0,0,0,1,0
360,0,0,0,1,0,0,0,0,0,1,0
361,0,0,1,1,0,0,0,0,0,2,0
362,1,0,1,0,0,0,0,0,1,3,1
363,0,0,0,1,0,0,0,1,0,0,0
364,1,0,1,1,0,0,0,0,0,1,0
365,1,0,0,1,0,0,0,0,1,0,0
366,0,0,0,1,0,0,0,0,0,1,0
367,0,0,1,1,0,0,1,0,0,1,0
368,0,0,0,1,0,0,0,0,0,1,0
369,0,0,2,2,0,0,0,0,0,1,0
370,0,1,1,1,0,0,0,0,0,1,0
371,0,0,0,1,0,0,0,0,0,1,0
372,0,1,1,1,0,0,0,0,0,1,0
373,2,0,2,2,1,0,0,0,0,3,0
374,0,0,0,1,0,0,0,0,0,1,0
375,0,0,1,2,0,0,0,0,0,1,0
376,0,0,2,0,0,0,0,0,0,2,0
377,0,0,2,2,0,0,0,0,0,2,0
378,0,0,0,0,0,0,0,0,0,1,0
379,1,1,0,1,0,0,0,0,1,0,0
380,0,0,0,1,0,0,1,0,0,0,0
381,1,2,1,1,0,0,0,0,0,1,0
382,1,1,1,1,0,0,0,0,0,0,0
383,0,1,1,1,0,0,0,0,1,0,0
384,1,0,1,1,0,0,0,0,0,1,0
385,1,0,0,1,0,0,0,0,0,0,0
386,0,0,0,0,1,0,0,0,0,1,0
387,0,0,0,1,0,0,0,0,0,1,0
388,0,0,0,0,0,0,0,0,0,1,0
389,0,1,0,0,0,0,0,0,0,1,0
390,0,0,0,0,0,0,2,0,0,0,0
391,0,0,1,0,0,0,0,0,0,1,0
392,0,0,0,1,0,0,0,0,0,1,0
393,0,0,0,1,0,0,0,1,0,1,0
394,1,0,0,1,0,0,0,0,1,0,0
395,0,0,0,1,0,0,0,0,0,0,0
396,1,0,0,1,0,0,0,0,1,0,0
397,0,1,1,1,0,0,0,0,0,0,0
398,1,0,0,1,0,0,0,0,1,0,0
399,0,0,0,1,0,0,0,0,0,0,0
400,0,0,0,0,0,0,2,0,0,0,0
401,1,1,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,2,0,0,0,0
403,0,0,1,0,0,0,0,8,0,0,0
404,1,0,1,0,0,0,1,0,0,1,0
405,0,0,0,1,0,0,0,0,0,1,1
406,0,0,0,1,0,0,0,0,0,1,1
407,0,0,0,1,0,0,0,1,0,1,0
408,2,0,2,2,0,1,0,0,0,0,0
409,1,0,1,1,0,0,1,0,0,1,0
410,1,1,0,1,0,0,0,0,0,0,0
411,0,1,0,1,0,0,0,0,0,1,0
412,0,0,1,0,0,0,0,2,0,1,0
413,0,0,1,0,0,0,0,0,0,1,0
414,0,0,0,1,0,0,0,0,0,1,0
415,0,0,0,1,0,0,0,0,0,0,0
416,2,1,3,2,0,0,0,0,0,0,0
417,1,0,0,1,0,0,0,0,0,0,0
418,0,1,0,1,0,0,0,0,0,1,0
419,1,0,1,1,0,0,0,0,0,1,0
420,2,1,1,0,0,0,0,0,0,0,0
421,0,0,0,1,0,0,0,0,0,0,0
422,1,0,1,1,0,0,0,0,0,0,0
423,1,0,0,1,0,0,0,0,1,0,0
424,0,0,1,0,0,0,0,0,1,1,0
425,1,0,1,1,0,0,0,0,0,0,0
426,2,0,2,2,0,0,0,0,0,0,0
427,1,0,0,1,0,1,0,0,0,0,0
428,1,1,0,0,0,0,1,0,0,1,1
429,1,0,0,0,0,0,0,0,0,0,0
430,1,0,0,0,0,0,0,0,0,0,1
431,2,0,1,1,0,0,0,0,0,0,0
432,1,0,0,1,0,0,0,0,1,0,0
433,1,0,1,1,0,0,0,0,1,0,1
434,1,0,0,1,0,0,0,0,1,0,0
435,1,0,0,1,0,0,0,0,0,0,0
436,1,0,0,1,0,0,0,0,1,0,0
437,0,0,0,0,0,0,0,1,0,0,0
438,0,0,0,1,0,0,0,0,0,2,0
439,0,0,0,1,0,0,0,0,0,1,0
440,1,0,0,1,0,0,0,0,0,0,1
441,0,0,1,1,0,1,0,1,0,0,0
442,1,0,1,1,0,0,0,0,0,0,0
443,0,0,0,1,0,0,0,0,0,1,1
444,0,0,0,2,0,0,0,0,1,2,1
445,1,0,0,1,0,1,0,0,1,0,1
446,1,0,0,0,0,1,0,0,2,0,1
447,2,1,0,1,0,0,0,0,0,0,1
448,2,2,0,1,1,0,0,0,0,1,1
449,2,1,0,1,0,0,0,0,1,0,1
450,0,0,0,1,0,0,0,0,1,1,1
451,1,1,0,1,0,0,0,1,1,0,0
452,1,1,0,1,0,0,0,0,1,0,1
453,1,2,0,1,0,0,0,0,1,0,1
454,1,0,0,1,0,0,0,0,1,0,1
455,0,0,0,1,0,0,0,0,0,0,1
456,0,0,0,1,0,0,0,0,0,1,0
457,0,0,0,1,0,0,0,0,0,1,1
458,1,0,0,1,0,0,0,0,1,0,1
459,1,0,0,2,0,0,0,0,1,0,1
460,2,1,0,1,0,0,0,0,1,0,1
461,0,1,1,0,0,0,0,0,0,0,1
462,0,0,1,1,0,0,0,0,1,1,0
463,0,0,0,1,1,0,0,1,0,1,0
464,0,0,0,1,0,0,2,0,0,0,0
465,1,0,0,1,0,0,0,0,0,0,1
466,0,0,0,1,1,0,0,0,1,1,0
467,0,0,0,1,1,0,0,0,0,1,1
468,0,0,0,0,1,0,0,0,0,1,1
469,0,0,0,2,1,1,1,0,0,2,0
470,0,0,0,1,0,0,0,0,0,1,0
471,0,0,0,2,0,0,0,0,0,1,0
472,0,0,0,0,1,0,0,0,0,0,1
473,0,0,0,1,0,0,0,0,0,0,0
474,0,0,0,1,0,0,0,2,0,0,0
475,0,0,0,1,0,0,0,0,0,1,0
476,0,0,1,0,0,0,0,0,0,1,0
477,0,0,0,1,0,1,0,0,0,1,1
478,0,0,0,1,0,0,0,0,0,1,0
479,0,0,1,1,1,0,0,0,0,1,1
480,0,0,1,1,1,0,0,0,1,1,1
481,0,0,0,0,0,1,0,0,0,2,0
482,0,0,0,1,1,0,0,0,0,1,1
483,0,0,0,1,1,0,0,0,0,0,0
484,0,0,0,1,0,0,0,0,0,1,0
485,0,0,0,1,1,0,0,0,0,1,1
486,0,0,0,2,0,0,0,0,0,0,0
487,2,1,1,1,0,0,0,0,1,0,1
488,0,0,1,1,0,0,0,0,0,1,0
489,0,0,1,1,1,0,0,0,0,0,0
490,1,1,1,1,1,0,0,0,1,0,1
491,0,0,1,1,1,0,0,0,0,1,0
492,0,0,1,1,1,0,0,0,0,0,0
493,0,0,1,2,0,1,0,0,0,1,0
494,1,1,0,1,1,0,0,0,0,0,1
495,0,0,0,1,0,1,0,0,0,0,0
496,0,0,1,1,0,0,0,0,0,1,0
497,0,0,1,1,1,0,0,0,0,0,0
498,0,0,0,1,0,0,0,0,0,2,0
499,0,0,1,1,1,0,0,0,0,0,1
500,0,0,0,1,0,0,0,0,0,0,0
501,0,2,0,1,0,0,0,0,0,0,0
502,0,0,0,1,0,1,0,0,1,0,0
503,0,0,2,1,1,0,0,0,0,0,0
504,0,0,0,1,0,0,0,0,0,1,0
505,1,0,0,1,0,0,0,0,1,0,1
506,0,0,0,1,0,0,0,0,0,1,0
507,0,0,0,1,0,0,0,0,0,1,1
508,0,0,0,0,0,0,0,0,1,1,1
509,0,0,0,2,0,0,2,0,1,0,1
510,0,0,0,1,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,1,0
512,0,0,0,0,0,0,0,0,0,1,0
513,0,0,0,1,0,0,0,0,1,1,1
514,0,1,0,1,0,0,0,0,1,0,0
515,0,0,0,1,0,1,0,0,0,1,0
516,1,0,0,1,0,0,1,0,1,0,1
517,0,0,0,1,0,0,0,0,1,1,1
518,0,0,0,1,4,0,0,0,0,0,0
519,1,0,1,1,1,0,0,0,0,1,1
520,0,0,0,1,0,0,0,0,0,1,0
521,1,1,1,1,0,0,0,0,0,0,1
522,0,0,0,1,0,0,0,0,0,0,0
523,0,0,1,1,1,0,1,0,0,0,0
524,1,1,0,1,0,0,0,0,1,0,1
525,0,0,0,1,1,0,0,0,1,0,1
526,1,0,0,1,0,0,0,0,1,0,1
527,0,0,0,1,0,0,0,0,0,1,0
528,0,0,0,1,0,0,0,0,1,1,1
529,0,0,0,1,0,0,0,0,0,1,0
530,0,0,0,1,0,0,0,0,0,1,0
531,0,0,1,1,1,0,0,0,0,0,0
532,0,0,0,1,0,0,0,0,1,1,1
533,0,0,2,2,1,0,0,0,0,2,0
534,0,0,0,1,0,2,0,0,0,0,0
535,0,0,0,1,0,0,0,0,0,0,0
536,0,1,0,1,0,0,0,0,0,0,0
537,0,0,1,1,0,0,0,0,1,0,0
538,0,0,0,1,0,0,0,0,0,1,0
539,2,0,2,1,0,0,0,0,1,0,1
540,0,0,0,2,0,0,0,0,0,0,0
541,0,0,0,1,0,0,0,0,0,1,0
542,0,0,0,0,0,1,0,0,0,0,0
543,2,1,0,0,0,0,0,0,1,0,1
544,0,0,0,0,0,0,0,9,0,0,0
545,2,0,0,0,0,0,0,0,0,0,1
546,1,0,1,1,0,0,0,0,1,0,1
547,5,0,0,1,0,0,0,0,0,1,0
548,0,0,1,1,0,0,0,0,0,1,1
549,0,0,0,1,0,0,0,0,1,1,1
550,0,0,0,1,0,0,0,0,1,1,1
551,0,0,0,0,0,0,0,0,1,1,1
552,0,0,0,1,0,0,0,0,1,0,1
553,0,0,0,1,0,0,0,0,0,2,1
554,0,0,0,1,0,0,0,0,0,2,0
555,0,0,0,1,0,0,0,0,0,1,1
556,0,0,0,0,0,1,0,1,0,2,0
557,0,0,0,1,0,0,0,0,0,0,0
558,0,0,0,1,0,0,0,0,0,0,0
559,0,0,1,1,0,1,0,0,0,0,0
560,2,1,0,1,0,0,0,0,1,3,1
561,0,0,0,0,0,0,0,1,0,1,0
562,0,0,0,1,0,0,0,0,1,1,1
563,0,0,0,1,0,0,0,0,1,1,0
564,0,0,1,1,0,0,0,0,0,1,0
565,1,0,0,1,0,0,0,0,0,1,0
566,0,0,0,2,1,1,0,0,0,1,0
567,0,0,0,2,0,0,0,0,0,0,0
568,0,0,0,1,0,0,0,0,0,1,0
569,0,0,0,1,0,0,0,0,1,1,1
570,0,1,0,1,1,0,0,0,0,0,0
571,0,1,0,1,0,0,1,0,0,0,1
572,0,0,0,1,0,0,0,0,1,0,1
573,0,0,0,1,0,0,0,0,0,2,0
574,0,0,1,1,1,0,0,0,0,1,1
575,0,0,0,0,0,0,0,0,0,0,0
576,2,0,1,1,0,0,0,0,0,1,0
577,2,0,0,1,0,0,0,0,0,1,0
578,2,0,0,1,0,0,0,0,0,1,0
579,0,0,0,1,0,0,0,0,0,2,1
